1,1,14.525180,2,7.324795,4,3.706781,8,2.078694,12,1.475549,16,1.206062,20,0.983400,24,0.850678,28,0.724764,32,0.643895
2,1,15.172302,2,7.296468,4,3.705742,8,2.039490,12,1.510990,16,1.199684,20,0.986336,24,0.829912,28,0.724281,32,0.643302
3,1,14.537189,2,7.285334,4,3.716595,8,2.044836,12,1.473210,16,1.197400,20,0.984821,24,0.830409,28,0.722752,32,0.642135
4,1,14.529503,2,7.354481,4,3.703134,8,2.042020,12,1.482481,16,1.199631,20,0.982015,24,0.833200,28,0.725461,32,0.644030
5,1,14.531803,2,7.289421,4,3.706148,8,2.065172,12,1.474260,16,1.206198,20,0.981988,24,0.831723,28,0.729007,32,0.638878
6,1,14.527108,2,7.315416,4,3.705752,8,2.042662,12,1.471687,16,1.193307,20,0.982595,24,0.831835,28,0.724428,32,0.642974
7,1,14.529559,2,7.298177,4,3.746204,8,2.042519,12,1.474848,16,1.195379,20,0.982767,24,0.830990,28,0.723305,32,0.642918
8,1,14.527130,2,7.288490,4,3.702678,8,2.046877,12,1.475829,16,1.191008,20,0.984103,24,0.831297,28,0.727613,32,0.645132
9,1,14.587245,2,7.312302,4,3.708056,8,2.043234,12,1.471864,16,1.195795,20,0.982983,24,0.832892,28,0.722380,32,0.640754
10,1,14.586144,2,7.288842,4,3.714017,8,2.043752,12,1.480099,16,1.196204,20,0.981154,24,0.831042,28,0.727767,32,0.644971
